Country,telephone_fixed_subscriptions_total,mobile_cellular_subscriptions_total,internet_users_total,broadband_fixed_subscriptions_total
Afghanistan,150000.0,23000000.0,7020000,26570.0
Albania,197690.0,2635466.0,2291000,508937.0
Algeria,5097095.0,47028685.0,31240000,3790459.0
Andorra,19075931.0,56805348.0,44180000,16188502.0
Angola,119826.0,15327864.0,11550000,230610.0
Antigua And Barbuda,27000.0,180000.0,89280,8000.0
Argentina,6903068.0,59065827.0,39150000,9571562.0
Armenia,418122.0,3599278.0,2212000,430407.0
Australia,7180000.0,28270000.0,22310000,8470000.0
Austria,3808709.0,10882217.0,8276999,2606000.0
Azerbaijan,1644300.0,10817071.0,8600000,1995474.0
The Bahamas,91000.0,466000.0,385400,83000.0
Bahrain,266741.0,1923443.0,1500000,148928.0
Bangladesh,587476.0,181021227.0,66300000,10052819.0
Barbados,120980.0,316633.0,240800,128000.0
Belarus,4332754.0,11760087.0,8352000,3255552.0
Belgium,3293420.0,11740118.0,10920000,4734210.0
Belize,19000.0,260000.0,248000,36000.0
Benin,11493.0,12731782.0,4420000,29981.0
Bhutan,19680.0,778008.0,670800,3189.0
Bolivia,539481.0,12033941.0,7920000,931918.0
Bosnia And Herzegovina,689295.0,3728775.0,2508000,770424.0
Botswana,132457.0,4160553.0,1924000,259525.0
Brazil,33700000.0,207046813.0,140908998,31500000.0
Brunei,112298.0,603486.0,441000,71078.0
Bulgaria,787637.0,7902756.0,5175000,2115053.0
Burkina Faso,81374.0,24678315.0,4840000,13979.0
Burundi,15976.0,7740494.0,754000,4230.0
Cabo Verde,53586.0,590171.0,413000,24839.0
Cambodia,40296.0,19899790.0,10200000,233732.0
Cameroon,739572.0,22442414.0,12420000,722579.0
Canada,13470000.0,35960000.0,33950632,15390000.0
Central African Republic,2000.0,1800000.0,605000,499.0
Chad,5300.0,10000000.0,3060000,
Chile,2510972.0,26571823.0,17100000,3763826.0
China,182835000.0,1750460000.0,1010740000,483550000.0
Colombia,7600000.0,75000000.0,37960000,7764772.0
Comoros,7431.0,853449.0,221400,1066.0
Democratic Republic Of The Congo,47.0,47000000.0,21102720,31000.0
Republic Of The Congo,17000.0,5558658.0,1794390,1000.0
Costa Rica,265513.0,44561505.0,12150000,260097.0
Croatia,1268941.0,4402213.0,3321000,1030973.0
Cuba,1539269.0,7103296.0,7810000,231654.0
Cyprus,,,,
Czechia,1294806.0,13129905.0,9130000,3845426.0
Denmark,706604.0,7287875.0,5841000,2590282.0
Djibouti,27326.0,489339.0,759000,25053.0
Dominica,7500.0,62000.0,58320,16000.0
Dominican Republic,6000.0,7300000.0,4290000,31000.0
Ecuador,1846666.0,16789600.0,13680000,2371297.0
Egypt,11030900.0,103449427.0,79200000,9349469.0
El Salvador,856090.0,11071073.0,3969000,586000.0
Equatorial Guinea,11000.0,650000.0,864000,1000.0
Eritrea,66000.0,1800000.0,792000,5000.0
Estonia,296620.0,1980838.0,1183000,415610.0
Eswatini,46000.0,1400000.0,708000,12000.0
Ethiopia,890000.0,65000000.0,20400000,212000.0
Fiji,49000.0,990000.0,500000,23062.0
Finland,207000.0,7000000.0,5115000,1846000.0
France,35500000.0,73830000.0,60421689,31520000.0
Gabon,31708.0,3144609.0,1656000,44607.0
The Gambia,60000.0,27000000.0,858000,5000.0
Georgia,337923.0,5163558.0,2888000,986809.0
Germany,38800000.0,107200000.0,79127551,37736000.0
Ghana,315271.0,40454073.0,22440000,78371.0
Greece,4913036.0,11494008.0,7800000,4257026.0
Grenada,26000.0,100000.0,93600,32000.0
Guatemala,2319643.0,22124839.0,9180000,612000.0
Guinea,,,,
Guinea-Bissau,261440.0,19859981.0,9860000,153813.0
Guyana,130000.0,860000.0,680000,95000.0
Haiti,,,,
Holy See (Vatican City),,,383,
Honduras,465521.0,7560710.0,4800000,396916.0
Hungary,2955979.0,10248653.0,8633000,
Iceland,100482.0,437270.0,370000,141816.0
India,20090000.0,1166310000.0,560000000,23000000.0
Indonesia,8998814.0,365872608.0,167400000,11722218.0
Iran,29306782.0,135899424.0,69520000,9564195.0
Iraq,3048736.0,37649112.0,21560000,6254099.0
Ireland,1595061.0,5373865.0,4750000,1516473.0
Israel,3500000.0,12500000.0,8010000,2602079.0
Italy,19994902.0,78114933.0,44250000,18128787.0
Jamaica,473617.0,2905408.0,2296000,385603.0
Japan,61210000.0,204700000.0,116565962,43730000.0
Jordan,427517.0,7275563.0,9130000,630545.0
Kazakhstan,2997400.0,24323000.0,17290000,2620400.0
Kenya,61096.0,65085720.0,15370000,674191.0
Kiribati,10.0,54527.0,70200,185.0
North Korea,1200000.0,6000000.0,,
South Korea,23213189.0,72855492.0,50960000,22327182.0
Kosovo,383763.0,1777859.0,1756300,
Kuwait,580000.0,6918180.0,4300000,73948.0
Kyrgyzstan,300000.0,8500000.0,5070000,289000.0
Laos,1300195.0,4822973.0,4588000,128000.0
Latvia,191798.0,2161725.0,1729000,490569.0
Lebanon,880000.0,4300000.0,4872000,432070.0
Lesotho,9559.0,1821374.0,1104000,5060.0
Liberia,6000.0,1700000.0,1768000,13000.0
Libya,1600000.0,2900000.0,3095400,332000.0
Liechtenstein,2956500.0,11060700.0,8352000,4028238.0
Lithuania,290711.0,3726653.0,2436000,796814.0
Luxembourg,270000.0,880000.0,633600,235155.0
Madagascar,26271.0,16279633.0,5800000,32000.0
Malawi,12465.0,11940135.0,4800000,12255.0
Malaysia,8247100.0,47201700.0,32979999,3358800.0
Maldives,14005.0,706043.0,447200,63685.0
Mali,301055.0,21882251.0,7480000,243806.0
Malta,259439.0,644955.0,461100,213419.0
Marshall Islands,2361.0,16000.0,16254,1000.0
Mauritania,58094.0,6512361.0,2714000,18457.0
Mauritius,,,,
Mexico,24366595.0,123920752.0,98800000,21936131.0
Federated States Of Micronesia,7000.0,22000.0,44000,6000.0
Moldova,1000228.0,3900179.0,1891000,719001.0
Monaco,42812.0,36255.0,31820,20877.0
Mongolia,399237.0,4687304.0,2772000,307166.0
Montenegro,189519.0,1120074.0,516600,184176.0
Morocco,2460155.0,52012000.0,32560000,2102434.0
Mozambique,59682.0,13686234.0,5440000,70000.0
Namibia,,,,
Nauru,10000.0,10000.0,10920,950.0
Nepal,730000.0,38000000.0,15600000,1270000.0
Netherlands,5024000.0,21888000.0,16559999,7525016.0
New Zealand,,,,
Nicaragua,207577.0,6233864.0,3933000,290351.0
Niger,58000.0,14000000.0,5500000,12000.0
Nigeria,106385.0,195128265.0,115500000,65313.0
North Macedonia,425646.0,1941352.0,1743000,475569.0
Norway,350000.0,5800000.0,5346000,2387661.0
Oman,572166.0,6115537.0,4320000,508949.0
Pakistan,2989133.0,188711452.0,48300000,2523027.0
Palau,8000.0,24000.0,6696,1224.0
Panama,790486.0,6003255.0,2992000,562413.0
Papua New Guinea,170000.0,4800000.0,3168000,21000.0
Paraguay,203971.0,7975074.0,5159000,562369.0
Peru,2266025.0,43129394.0,24140000,3044000.0
Philippines,5028018.0,163345244.0,58300000,7936574.0
Poland,5308497.0,50588785.0,32299999,8369218.0
Portugal,5318750.0,12476165.0,8199999,4160795.0
Qatar,460240.0,3876499.0,2700000,296126.0
Romania,2606000.0,22929000.0,15960000,5684782.0
Russia,24000000.0,250000000.0,132000000,33893305.0
Rwanda,11893.0,10902989.0,3900000,17685.0
Saint Kitts And Nevis,16000.0,57000.0,37920,30000.0
Saint Lucia,14000.0,170000.0,140400,33000.0
Saint Vincent And The Grenadines,11385.0,114892.0,85000,24733.0
Samoa,6000.0,69000.0,171600,1692.0
San Marino,16000.0,40000.0,25500,11000.0
Sao Tome And Principe,2619.0,189239.0,112200,2512.0
Saudi Arabia,6594631.0,45427321.0,36000000,7890261.0
Senegal,0.0,13795000.0,4900000,1000.0
Serbia,2540276.0,8501519.0,5589000,1730496.0
Seychelles,18768.0,184161.0,90200,34966.0
Sierra Leone,269.0,8227093.0,1047499,
Singapore,1887500.0,8660700.0,5369000,1509700.0
Slovakia,577390.0,7362325.0,4806000,1701561.0
Slovenia,695444.0,2607268.0,1869000,651604.0
Solomon Islands,7000.0,470000.0,255600,1000.0
Somalia,91000.0,8844000.0,2465000,119000.0
South Africa,1472191.0,100328005.0,42480000,1303057.0
South Sudan,3.0,3300000.0,869000,200.0
Spain,3000.0,5000.0,2473,2700.0
Sri Lanka,2869186.0,30764134.0,14740000,1781530.0
Sudan,129408.0,16688773.0,13248000,28782.0
Suriname,119977.0,906170.0,402600,92270.0
Sweden,1382146.0,12843683.0,8800000,4179574.0
Switzerland,,,,
Syria,2821171.0,16990714.0,8492468,1549356.0
Tajikistan,500000.0,12000000.0,3009054,6000.0
Tanzania,72000.0,54000000.0,20480000,1135608.0
Thailand,4600000.0,120000000.0,61200000,11478265.0
Timor-Leste,1900.0,1400000.0,507000,75.0
Togo,54000.0,6300000.0,3010000,52706.0
Tonga,11000.0,64000.0,73700,5000.0
Trinidad And Tobago,340000.0,2000000.0,1185000,376771.0
Tunisia,1700000.0,16000000.0,9480000,1334059.0
Turkey (Turkiye),12000000.0,86000000.0,68850000,16734853.0
Turkmenistan,800000.0,6300000.0,1563023,10000.0
Tuvalu,2000.0,9000.0,7920,450.0
Uganda,110000.0,30000000.0,4600000,58594.0
Ukraine,2300000.0,56000000.0,34596356,7769401.0
United Arab Emirates,2200000.0,18000000.0,9400000,3245123.0
United Kingdom,26900000.0,80220000.0,65001016,27050000.0
United States,107280000.0,496800000.0,311870000,119870000.0
Uruguay,1200000.0,4700000.0,3060000,1063701.0
Uzbekistan,3470097.0,35000000.0,26180000,4820009.0
Vanuatu,3600.0,250000.0,211200,2785.0
Venezuela,3200000.0,17000000.0,22734162,2561556.0
Vietnam,3100000.0,140000000.0,71780000,16699249.0
Yemen,1200000.0,15000000.0,8229624,391000.0
Zambia,66000.0,20000000.0,3990000,82317.0
Zimbabwe,243421.0,14257590.0,5600000,203461.0
