Country,Continent,Total_Population,Population_Growth_Rate,Birth_Rate,Death_Rate,Net_Migration_Rate,Median_Age,Sex_Ratio,Infant_Mortality_Rate,Total_Fertility_Rate,Total_Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Youth_Unemployment_Rate
Singapore,Asia,5975383,0.9%,8.9,4.2,4.2,38.9,1.0,1.5,1.17,97.5%,28%,5%,9.1%
Slovakia,Europe,5425319,0.13%,10.3,11.5,0.0,42.5,0.93,5.3,1.6,,37.4%,25.6%,21.5%
Slovenia,Europe,2099790,0.08%,8.1,10.5,1.5,45.9,1.0,1.5,1.6,99.7%,24.4%,19.6%,13.9%
Solomon Is.,Oceania,714766,1.69%,22.3,4.0,1.5,24.8,1.04,19.5,2.82,,53.8%,19.2%,1.9%
Somalia,Africa,12693796,2.49%,37.7,11.4,1.4,19.0,1.01,85.1,5.22,,32.5%,38.5%,34.7%
South Africa,Africa,58048332,1.08%,18.3,7.2,0.3,30.1,0.96,24.4,2.31,95%,34%,6.5%,64.2%
S. Sudan,Africa,12118379,4.78%,37.1,9.2,20.0,18.7,1.05,61.6,5.2,34.5%,40.3%,28.9%,21%
Spain,Europe,"47,222,613",0.12%,7.1,10.1,4.2,46.3,0.95,2.4,1.29,98.6%,99.0%,98.2%,33.9%
Sri Lanka,Asia,23326272,0.56%,14.6,7.4,1.5,33.9,0.94,6.8,2.14,92.3%,41.4%,2.6%,26.1%
Sudan,Africa,49197555,2.55%,33.3,6.2,1.6,19.1,1.01,41.4,4.54,60.7%,65.4%,56.1%,35.6%
Suriname,South America,639759,1.11%,15.2,6.6,2.5,31.6,0.98,29.9,1.91,95%,96.5%,93.4%,30.5%
Sweden,Europe,10536338,0.51%,10.8,9.5,3.8,41.0,1.01,2.3,1.67,,29.8%,18.2%,24.5%
Switzerland,Europe,8563760,0.78%,10.2,8.4,6.0,44.0,0.99,3.0,1.59,,28.1%,22.9%,9.1%
Syria,Asia,22933531,6.39%,22.2,4.1,45.8,23.9,1.01,15.5,2.74,86.4%,91.7%,81%,26.2%
Tajikistan,Asia,9245937,1.94%,26.4,4.9,2.0,22.7,1.01,23.1,3.6,99.8%,99.8%,99.7%,17.4%
Tanzania,Africa,65642682,2.75%,32.9,5.0,0.4,18.9,1.0,30.3,4.33,81.8%,14%,3.4%,4.6%
Thailand,Asia,69794997,0.2%,10.0,7.9,0.2,41.0,0.95,6.4,1.54,94.1%,41.3%,2.9%,7%
Timor-Leste,Asia,1476042,2.1%,30.4,5.6,3.8,20.3,0.99,32.9,4.09,68.1%,67.6%,10.8%,13.8%
Togo,Africa,8703961,2.45%,31.4,5.2,1.8,20.5,0.97,39.8,4.18,66.5%,12.3%,1.2%,9.7%
Tonga,Oceania,105221,0.3%,20.0,5.0,18.1,25.4,1.01,12.1,2.7,99.4%,46.7%,15.3%,11.1%
Trinidad And Tobago,North America,1407460,0.12%,10.6,8.5,1.0,38.0,1.01,15.4,1.63,99%,99.2%,98.7%,12.7%
Tunisia,Africa,11976182,0.63%,14.1,6.4,1.3,34.0,0.98,11.6,1.96,82.7%,47.2%,2%,38.3%
Turkey (Turkiye),Asia,83593483,0.64%,14.0,6.1,1.5,33.6,1.01,18.9,1.91,96.7%,21.4%,29.9%,24.3%
Turkmenistan,Asia,5690818,0.95%,17.2,6.0,1.7,30.7,0.98,36.7,2.03,99.7%,10.6%,0.4%,11%
Tuvalu,Oceania,11639,0.81%,22.3,7.9,6.4,27.5,0.98,28.3,2.81,,49.8%,21.3%,20.6%
Uganda,Africa,47729952,3.22%,40.3,4.9,3.2,16.1,0.95,29.4,5.26,79%,13%,3.7%,4.3%
Ukraine,Europe,43306477,2.33%,5.8,19.8,37.3,45.3,1.0,9.0,1.22,100%,40%,11.5%,16.5%
United Arab Emirates,Asia,9973449,0.58%,10.8,1.6,3.4,35.7,2.16,5.1,1.62,98.1%,98.8%,97.2%,10.7%
United Kingdom,Europe,68138484,0.49%,10.8,9.1,3.2,40.6,,3.8,1.63,,17.3%,13.5%,13.2%
United States of America,North America,339665118,0.68%,12.2,8.4,3.0,38.5,0.97,5.1,1.84,,28.4%,17.5%,9.6%
Uruguay,South America,3416264,0.27%,12.7,9.1,0.9,36.2,0.94,8.1,1.75,98.8%,24.4%,18.5%,32.9%
Uzbekistan,Asia,31360836,1.61%,22.2,5.2,0.9,28.7,1.01,18.9,2.92,100%,34%,1.1%,16%
Vanuatu,Oceania,313046,1.59%,21.2,4.0,1.3,24.2,0.99,14.0,2.59,89.1%,33%,2.6%,5.4%
Venezuela,South America,30518260,2.4%,17.0,6.6,13.6,30.8,0.99,14.1,2.2,97.5%,97.4%,97.7%,14.9%
Vietnam,Asia,104799174,0.93%,15.3,5.8,0.2,32.7,1.01,14.4,2.04,95.8%,47.4%,2.2%,7.2%
Yemen,Asia,31565602,1.83%,24.1,5.5,0.2,21.6,1.02,45.5,2.91,70.1%,32.5%,8.1%,25.5%
Zambia,Africa,20216029,2.86%,34.5,6.0,0.2,18.2,1.0,36.3,4.49,86.7%,25.1%,3.7%,26.1%
Zimbabwe,Africa,15418674,1.99%,29.4,6.7,2.9,21.0,0.95,34.0,3.51,89.7%,21.8%,1.5%,7.3%
